millis|gX|gY|gZ|aX|aY|aZ|UVIndex
2146619|3.51|3.69|1.05|1.09|0.07|0.04|8.55
2151634|63.53|5.21|2.68|1.17|0.07|0.07|5.03
2156650|-18.40|3.27|4.56|1.12|0.06|0.01|4.84
2161666|-6.15|6.92|-3.66|1.14|0.08|-0.02|4.79
2166682|79.79|11.37|6.55|1.14|0.07|-0.03|31.33
2171698|9.72|4.76|2.56|1.08|0.08|-0.01|5.62
2176712|5.58|5.13|0.56|1.16|0.07|-0.00|4.89
2181728|60.07|8.85|4.27|1.09|0.08|0.01|9.38
2186743|65.28|6.88|6.63|1.14|0.05|-0.01|10.46
2191759|-22.09|2.69|0.03|1.05|0.07|-0.01|5.08
2196774|-15.16|2.08|-0.06|1.15|0.08|0.01|4.94
2201790|-13.18|6.31|3.93|1.11|0.09|-0.01|5.08
2206806|-13.14|5.37|-1.53|1.14|0.07|0.01|25.27
2211821|-10.77|10.13|1.10|1.10|0.06|-0.00|5.38
2216837|-16.98|3.40|0.31|1.11|0.08|-0.02|5.43
2221853|3.50|5.10|-0.33|1.12|0.08|0.01|5.18
2226869|15.05|8.05|2.44|1.13|0.08|0.01|4.94
2231883|29.35|5.19|1.18|1.10|0.08|0.01|30.89
2236899|41.34|11.14|3.15|1.11|0.07|-0.02|5.91
2241914|30.01|6.01|3.96|1.09|0.07|-0.02|4.79
2246930|29.21|6.31|1.52|1.14|0.07|-0.00|16.32
2251945|37.53|6.60|3.86|1.14|0.08|0.03|17.45
2256961|5.98|4.27|-0.37|1.13|0.07|-0.00|4.84
2261977|46.98|6.83|6.32|1.12|0.08|-0.00|29.37
2266992|56.89|6.37|3.54|1.10|0.08|0.03|5.13
2272008|30.31|9.12|3.63|1.07|0.07|-0.03|27.91
2277024|13.03|2.88|3.35|1.17|0.08|0.00|6.01
2282040|14.38|3.40|3.85|1.14|0.07|0.02|5.03
2287055|-24.35|9.21|3.90|1.00|0.05|-0.01|5.08
2292071|-44.68|8.91|4.53|1.13|0.10|-0.00|16.86
2297086|47.18|5.52|2.45|1.09|0.08|0.01|5.67
2302102|-23.56|5.61|2.69|1.13|0.08|0.00|5.03
2307118|-22.98|5.43|0.15|1.12|0.08|-0.01|11.09
2312133|-25.84|7.29|2.12|1.10|0.07|-0.00|21.02
2317149|9.02|4.57|0.80|1.12|0.09|-0.00|5.18
2322164|10.40|4.99|3.59|1.08|0.08|-0.02|4.94
2327180|-10.47|4.86|-1.20|1.14|0.08|0.01|5.18
2332196|-12.71|0.92|1.52|1.14|0.07|0.05|5.08
2337212|-15.08|4.98|0.80|1.07|0.08|0.04|4.94
2342227|64.76|3.73|3.82|1.10|0.07|0.05|5.13
2347243|6.98|11.36|8.25|1.19|0.10|0.02|7.28
2352259|3.05|-4.89|-3.62|1.13|0.09|0.10|21.95
2357274|62.43|6.50|2.96|1.10|0.06|0.08|8.60
2362290|34.05|0.68|2.31|1.12|0.08|0.08|5.23
2367305|8.15|3.92|1.49|1.10|0.08|0.05|4.99
2372320|38.16|0.91|-0.09|1.12|0.08|0.05|5.13
2377335|-34.45|3.19|-0.40|1.17|0.07|0.05|10.75
2382351|-2.96|-2.90|-1.82|1.09|0.07|0.07|26.78
2387368|-29.24|-3.50|-2.80|1.13|0.09|0.08|12.95
2392384|18.61|5.31|0.76|1.14|0.06|0.00|19.55
2397400|-44.59|7.82|-6.71|1.17|0.06|-0.01|5.96
2402415|-25.87|-0.64|4.34|1.17|0.06|0.04|4.99
2407431|49.14|8.48|6.55|1.13|0.08|0.01|4.94
2412446|-4.76|5.53|-1.44|1.03|0.07|0.04|4.94
2417462|9.66|-1.47|-0.78|1.14|0.09|0.07|9.87
2422476|-21.63|6.17|-0.89|1.12|0.08|0.03|5.03
2427492|-56.62|0.22|0.76|1.12|0.07|0.08|26.59
2432507|22.07|3.27|-0.92|1.08|0.07|0.05|30.11
2437523|32.52|4.04|1.98|1.10|0.07|0.05|10.75
2442541|-37.68|5.82|0.38|1.11|0.08|0.02|5.91
2447556|26.71|5.34|7.48|1.14|0.07|0.03|4.99
2452572|31.95|2.44|5.89|1.08|0.08|0.05|7.23
2457586|-23.95|2.69|1.62|1.12|0.07|0.04|4.79
2462602|4.85|9.81|-0.73|1.08|0.07|0.01|26.00
2467617|43.34|6.68|1.11|1.14|0.06|0.02|6.01
2472633|-42.08|6.40|-5.41|1.15|0.06|0.01|4.84
2477648|36.32|-0.83|0.21|1.11|0.08|0.06|5.08
2482664|-16.27|3.50|2.26|1.13|0.08|0.03|28.40
2487680|-68.27|7.63|0.23|1.18|0.08|0.03|6.89
2492695|-14.24|-1.56|-0.90|1.08|0.07|0.05|4.94
2497712|-1.15|5.40|1.95|1.12|0.07|0.02|16.37
2502727|8.65|-1.18|1.89|1.10|0.08|0.05|20.87
2507743|-30.22|1.86|4.84|1.13|0.07|0.04|32.16
2512758|2.57|1.02|-1.05|1.15|0.08|0.04|5.43
2517774|33.48|7.11|7.53|1.11|0.09|0.02|4.69
2522789|-18.89|-0.98|3.56|1.13|0.07|0.05|4.89
2527805|20.32|6.23|5.76|1.10|0.08|0.02|4.79
2532820|8.59|1.27|-2.79|1.11|0.08|0.05|5.08
2537836|-42.33|0.18|4.70|1.08|0.07|0.04|5.91
2542852|-40.79|4.71|-1.06|1.11|0.07|0.03|10.36
2547867|-23.93|-0.76|2.67|1.14|0.07|0.04|6.35
2552884|49.37|7.56|3.42|1.16|0.06|-0.01|4.89
2557899|-4.30|5.78|-3.08|1.10|0.07|-0.02|4.69
2562915|14.50|5.38|6.11|1.15|0.08|-0.00|29.72
2567930|10.00|6.46|2.82|1.05|0.09|-0.01|22.43
2572946|60.77|6.18|4.79|1.13|0.06|-0.01|32.40
2577961|40.69|6.79|3.89|1.09|0.07|-0.01|13.39
2582977|32.51|4.37|4.24|1.09|0.07|-0.01|4.94
2587993|29.97|6.27|3.89|1.08|0.08|0.00|4.94
2593008|-67.13|5.48|-2.43|1.12|0.07|0.03|5.13
2598024|17.15|0.60|1.87|1.08|0.08|0.03|15.44
2603039|0.81|5.56|-0.28|1.10|0.08|0.03|14.03
2608056|4.98|3.15|1.72|1.14|0.08|0.04|31.38
2613071|42.27|1.85|1.53|1.12|0.08|0.06|27.66
2618087|-20.39|7.76|2.60|1.14|0.07|0.01|29.72
2623102|-45.11|4.40|-5.80|1.14|0.08|0.01|5.28
2628118|-78.21|6.63|2.38|1.14|0.09|0.01|6.74
2633134|39.08|5.42|0.17|1.13|0.08|-0.00|12.07
2638149|-6.85|8.32|0.82|1.12|0.07|0.00|21.80
2643165|0.34|3.45|0.89|1.06|0.08|-0.01|5.47
2648179|-16.14|7.52|0.08|1.12|0.08|0.01|4.94
2653200|48.82|2.08|3.40|1.13|0.07|0.06|4.99
2658215|-60.24|-1.60|0.24|1.19|0.07|0.08|12.02
2663232|37.04|0.68|4.47|1.12|0.06|0.07|21.11
2668248|-4.00|2.10|2.15|1.10|0.07|0.06|7.09
2673263|25.60|2.94|1.08|1.17|0.08|0.04|6.16
2678279|-6.73|5.90|-0.03|1.12|0.08|0.01|6.70
2683293|10.08|3.70|1.50|1.11|0.08|0.01|7.04
2688309|48.69|6.37|5.88|1.10|0.08|0.03|5.38
2693324|7.85|-0.35|6.40|1.13|0.08|0.03|9.53
2698340|-86.37|9.87|-1.64|1.11|0.08|0.04|20.87
2703355|-21.54|3.15|0.82|1.08|0.08|0.04|22.87
2708371|-39.19|2.39|7.83|1.17|0.07|0.05|33.82
2713387|-74.34|-6.59|-8.16|1.16|0.07|0.08|14.52
2718403|-11.97|4.68|2.19|1.14|0.09|0.04|5.28
2723419|65.79|3.35|-2.79|1.10|0.07|0.06|7.62
2728434|-71.12|3.79|0.27|1.12|0.07|0.02|4.99
2733450|45.40|6.86|9.04|1.09|0.08|-0.01|10.17
2738465|46.80|6.65|1.44|1.14|0.05|-0.01|15.25
2743481|-21.65|2.94|-1.94|1.09|0.07|0.05|33.72
2748496|0.48|0.61|2.86|1.09|0.07|0.06|5.43
2753512|77.14|5.94|0.14|1.15|0.07|0.09|5.13
2758528|77.44|3.40|6.14|1.11|0.07|0.09|5.08
2763543|90.28|5.18|1.56|1.07|0.07|0.10|5.03
2768559|44.43|7.37|2.54|1.15|0.07|0.02|6.79
2773574|-12.97|0.21|2.06|1.13|0.08|0.03|4.84
2778591|-15.11|4.79|4.05|1.11|0.08|0.02|27.96
2783606|67.69|-1.47|5.83|1.18|0.07|0.07|24.39
2788622|66.81|-0.37|0.92|1.14|0.08|0.09|5.96
2793637|14.16|2.73|6.77|1.07|0.07|0.03|5.03
2798653|61.33|0.48|1.85|1.13|0.07|0.06|26.30
2803668|-88.00|7.16|-3.95|1.12|0.07|0.04|20.04
2808684|-72.96|9.91|-2.11|1.14|0.08|0.02|5.82
2813700|65.73|-0.54|2.63|1.16|0.08|0.07|28.89
2818715|-14.34|-1.73|4.95|1.16|0.07|0.05|5.13
2823731|-34.88|1.24|5.95|1.09|0.07|0.04|34.80
2828746|-22.03|3.00|3.56|1.10|0.08|0.03|5.33
2833763|1.22|3.84|-1.86|1.11|0.08|0.02|24.24
2838778|71.11|0.32|0.95|1.10|0.07|0.06|9.09
2843794|-3.78|6.72|-5.65|1.09|0.08|0.02|20.38
2848809|29.40|3.69|0.18|1.08|0.08|0.03|4.74
2853824|-14.56|2.03|-2.19|1.11|0.08|0.01|5.08
2858840|-61.73|-4.17|-1.66|1.19|0.07|0.08|5.87
2863855|2.48|10.58|0.53|1.15|0.07|0.01|14.47
2868871|-51.87|5.19|-0.10|1.08|0.07|0.03|8.60
2873886|45.65|-4.61|3.47|1.05|0.07|0.03|10.31
2878902|-49.55|5.89|4.09|1.12|0.09|0.03|11.88
2883917|-12.00|4.36|-3.66|1.11|0.07|0.02|6.60
2888934|-54.07|7.52|3.74|1.16|0.07|0.06|11.14
2893949|-7.89|2.68|-2.47|1.15|0.08|0.03|6.21
2898965|3.65|5.21|-7.91|1.15|0.07|0.02|5.23
2903981|42.82|3.97|-2.59|1.16|0.06|0.00|23.07
2908996|-46.24|7.50|-5.57|1.10|0.06|0.00|6.01
2914012|-13.43|1.90|-8.98|1.03|0.07|0.01|5.13
2919027|-2.69|-1.47|0.23|1.11|0.07|0.05|5.52
2924043|35.73|6.90|-3.57|1.12|0.07|0.01|11.97
2929058|72.07|14.93|8.98|1.18|0.09|0.00|5.23
2934074|-69.97|-5.06|-3.08|1.12|0.07|0.06|4.69
2939089|-13.31|-4.56|-1.40|1.16|0.08|0.06|7.38
2944106|-48.89|-6.43|-9.31|1.17|0.08|0.06|24.44
2949122|-66.59|3.39|-5.74|1.15|0.05|-0.00|26.74
2954137|-3.27|-2.38|3.47|1.05|0.08|0.08|5.23
2959153|25.62|0.55|-2.23|1.12|0.08|0.04|4.79
2964168|-34.08|2.92|-2.71|1.10|0.07|0.02|4.84
2969184|14.85|0.98|-1.85|1.11|0.08|0.02|6.50
2974199|47.45|-4.12|2.47|1.16|0.08|0.06|14.27
2979215|51.26|13.63|2.64|1.15|0.08|0.00|32.99
2984230|54.00|5.80|5.03|1.09|0.07|0.03|5.77
2989246|-8.43|-3.03|6.35|1.11|0.07|0.04|30.60
2994267|-20.18|-1.08|-3.76|1.18|0.08|0.04|6.35
2999282|14.85|5.86|0.64|1.15|0.07|0.01|4.89
3004298|-2.05|3.17|1.11|1.15|0.08|0.03|12.66
3009313|-77.40|6.64|-1.01|1.12|0.08|0.01|14.81
3014329|5.73|4.37|3.23|1.09|0.09|0.01|13.69
3019344|-64.09|6.67|-4.79|1.16|0.07|0.02|5.91
3024360|12.25|-5.72|3.56|1.17|0.07|0.05|4.99
3029376|-18.31|4.08|4.11|1.04|0.07|0.01|4.89
3034391|4.27|2.81|3.97|1.10|0.08|0.03|16.23
3039407|40.77|5.11|-3.29|1.18|0.08|0.05|11.39
3044422|-78.15|5.98|0.35|1.09|0.08|0.04|4.89
3049438|-58.23|6.37|-3.40|1.14|0.08|0.04|8.50
3054454|32.67|-2.24|5.56|1.16|0.07|0.05|4.89
3059470|26.80|9.44|0.85|1.17|0.08|0.00|4.79
3064485|-31.63|-1.28|-2.20|1.18|0.08|0.06|4.84
3069501|65.95|0.68|1.89|1.11|0.07|0.05|18.72
3074516|13.38|2.04|2.40|1.09|0.07|0.02|5.23
3079532|-16.92|4.15|3.74|1.10|0.08|0.02|31.77
3084548|28.34|4.10|5.24|1.17|0.08|0.03|8.55
3089562|42.46|5.66|3.51|1.14|0.09|0.01|4.59
3094578|53.93|3.73|8.64|1.05|0.07|0.01|4.50
3099593|-86.57|6.02|0.32|1.11|0.07|0.05|6.30
3104609|43.29|4.24|5.69|1.15|0.08|0.02|27.37
3109625|58.58|12.63|2.02|1.20|0.06|0.00|20.23
3114641|61.52|2.06|1.26|1.13|0.08|0.08|7.09
3119656|18.28|-2.79|-2.89|1.07|0.08|0.03|20.38
3124672|-11.08|7.17|2.66|1.05|0.08|0.02|17.55
3129688|60.99|10.01|3.38|1.08|0.07|0.03|13.39
3134703|-73.37|-2.44|-3.19|1.13|0.06|0.06|5.67
3139718|9.72|3.92|-1.11|1.14|0.08|0.03|15.74
3144733|-70.26|-2.00|0.41|1.16|0.06|0.07|31.38
3149749|29.80|10.24|7.05|1.14|0.08|0.01|4.84
3154764|-81.98|9.78|-1.93|1.14|0.06|0.02|15.40
3159780|33.69|-4.58|6.64|1.13|0.07|0.05|9.04
3164796|-35.87|2.64|6.38|1.07|0.08|0.03|5.28
3169812|-1.75|6.61|3.23|1.13|0.09|0.02|20.19
3174828|15.23|0.82|7.95|1.19|0.08|0.04|20.48
3179843|35.30|12.09|5.59|1.18|0.08|-0.01|5.28
3184859|11.06|-0.22|2.86|1.11|0.08|0.03|8.55
3189874|42.73|7.30|-1.12|1.14|0.07|0.02|9.09
3194889|-27.67|-0.34|5.39|1.15|0.08|0.04|4.35
3199904|65.63|5.69|1.66|1.16|0.07|0.05|10.46
3204920|4.24|1.60|3.73|1.07|0.08|0.02|13.15
3209935|6.81|3.55|7.55|1.09|0.09|0.02|4.55
3214951|-6.02|-1.37|-3.56|1.11|0.08|0.02|4.45
3219968|-23.60|0.73|-2.90|1.14|0.07|0.01|9.78
3224983|-29.37|-6.08|1.36|1.14|0.08|0.08|4.35
3229999|17.73|3.52|-3.24|1.10|0.07|0.02|4.69
3235014|36.17|0.67|4.34|1.12|0.08|0.03|4.94
3240029|3.66|5.85|-5.55|1.12|0.07|0.01|18.57
3245044|-26.02|-3.98|-6.84|1.07|0.08|0.04|4.99
3250060|73.60|12.54|5.18|1.11|0.07|0.03|13.34
3255075|-5.01|0.69|6.76|1.13|0.08|0.01|5.18
3260091|-40.58|4.50|3.82|1.19|0.09|0.02|9.58
3265106|-15.08|4.63|-2.69|1.16|0.07|0.01|22.19
3270122|17.18|3.07|-4.68|1.15|0.08|0.03|5.62
3275139|39.89|-4.28|5.38|1.10|0.07|0.04|6.21
3280154|20.82|-0.18|1.37|1.12|0.08|0.03|8.21
3285170|12.18|5.62|4.13|1.11|0.08|0.01|6.30
3290185|-52.34|3.95|2.38|1.17|0.09|0.02|4.55
3295200|-40.09|8.44|-0.80|1.18|0.07|0.01|4.89
3300215|29.42|0.97|2.41|1.14|0.08|0.04|6.30
3305231|8.71|1.13|-1.48|1.06|0.08|0.02|4.69
3310246|53.80|6.99|6.51|1.09|0.07|0.03|4.94
3315262|-20.73|3.87|1.73|1.11|0.08|0.02|4.35
3320278|-2.56|-0.50|-2.99|1.13|0.08|0.04|4.94
3325293|-29.13|2.73|7.21|1.17|0.08|0.04|4.50
3330310|-31.95|0.46|2.28|1.12|0.08|0.02|5.87
3335325|-34.11|2.88|-4.09|1.09|0.07|0.02|4.99
3340340|-27.53|5.41|-2.00|1.11|0.08|0.02|6.45
3345355|53.99|4.24|9.15|1.16|0.08|0.02|4.69
3350371|-37.47|1.02|1.98|1.12|0.07|0.03|32.70
3355386|-21.43|4.19|4.78|1.15|0.09|0.03|4.99
3360402|22.07|-4.94|4.59|1.19|0.08|0.05|4.79
3365417|-74.05|-2.61|-0.97|1.11|0.07|0.06|18.72
3370433|8.24|7.86|1.32|1.12|0.08|0.03|4.79
3375449|-1.74|0.51|5.71|1.12|0.08|0.02|4.59
3380464|-14.03|3.72|-3.69|1.13|0.07|0.02|4.74
3385481|26.76|7.44|-4.26|1.13|0.07|0.01|18.52
3390496|-50.97|-6.01|-4.79|1.14|0.08|0.05|6.11
3395512|6.56|1.23|-1.23|1.12|0.09|0.04|33.28
3400526|-2.53|-2.15|0.31|1.12|0.08|0.02|9.24
3405542|27.89|6.61|-2.93|1.18|0.07|0.01|5.23
3410557|3.63|2.28|3.00|1.14|0.08|0.02|4.84
3415573|-4.87|5.54|4.63|1.16|0.08|0.01|4.59
3420589|28.53|1.66|-1.50|1.16|0.09|0.04|4.79
3425604|25.38|3.27|-1.37|1.12|0.08|0.03|25.51
3430620|28.85|3.05|-0.71|1.12|0.08|0.04|5.77
3435634|-20.95|8.52|-2.71|1.12|0.07|0.00|13.34
3440652|32.33|1.61|3.37|1.09|0.08|0.04|4.69
3445666|-35.00|3.30|2.11|1.13|0.08|0.04|14.61
3450682|-16.47|5.34|3.55|1.14|0.09|0.02|4.55
3455697|0.33|6.30|-2.12|1.12|0.07|0.02|4.84
3460713|-9.38|5.40|-0.90|1.09|0.09|0.02|23.80
3465729|7.59|5.56|1.38|1.06|0.08|0.02|23.22
3470744|41.44|4.92|0.04|1.13|0.08|0.03|5.57
3475760|-10.44|3.71|0.78|1.13|0.08|0.03|31.67
3480774|8.11|3.65|2.64|1.09|0.08|0.01|5.03
3485790|-9.76|1.42|-0.50|1.09|0.08|0.02|31.57
3490805|8.85|4.14|2.22|1.09|0.08|0.02|4.45
3495822|22.31|6.15|4.15|1.14|0.08|0.01|4.35
3500837|-4.45|1.69|4.79|1.15|0.08|0.03|30.89
3505853|-29.85|7.18|2.72|1.18|0.09|0.02|7.18
3510868|14.90|-0.05|6.42|1.17|0.08|0.03|4.55
3515884|36.77|10.21|2.20|1.17|0.08|0.01|4.69
3520900|31.21|6.38|7.03|1.18|0.09|0.02|4.35
3525914|57.27|6.10|3.86|1.10|0.07|0.01|6.94
3530930|-2.66|4.27|0.73|1.09|0.08|0.02|4.30
3535945|4.76|6.28|0.45|1.12|0.08|0.01|4.55
3540961|22.08|1.53|3.44|1.11|0.08|0.03|4.74
3545976|0.32|7.08|-0.17|1.09|0.08|0.02|4.30
3550991|15.57|5.11|6.01|1.11|0.08|0.02|25.12
3556008|-36.21|3.79|-2.53|1.20|0.08|0.02|32.06
3561024|35.34|4.45|-1.50|1.16|0.08|0.03|4.94
3566039|62.04|-1.36|0.28|1.18|0.08|0.07|8.26
3571054|-40.95|13.90|-1.98|1.19|0.08|0.00|4.84
3576070|10.93|-3.66|3.21|1.16|0.08|0.04|4.99
3581085|5.00|0.92|-1.10|1.09|0.08|0.02|4.59
3586101|-6.02|8.85|2.63|1.10|0.07|0.00|4.69
3591116|-28.26|1.56|-11.50|1.07|0.07|0.02|9.43
3596144|-5.58|-1.12|3.42|1.14|0.08|0.04|27.76
3601160|-14.26|7.06|-1.23|1.12|0.07|-0.01|7.18
3606175|-17.02|-1.08|-3.06|1.19|0.09|0.05|4.79
3611193|26.21|4.41|-3.67|1.18|0.08|0.03|4.94
3616207|36.91|4.54|-0.58|1.16|0.08|0.03|19.89
3621223|-50.22|2.22|-7.11|1.08|0.08|0.03|4.69
3626238|-28.42|-3.15|4.80|1.15|0.07|0.05|10.70
3631254|24.75|7.53|-0.28|1.04|0.08|-0.01|32.21
3636270|18.04|6.43|-1.00|1.16|0.07|-0.00|11.73
3641285|11.79|-4.20|-5.73|1.19|0.09|0.05|30.06
3646301|-35.31|7.21|1.23|1.10|0.08|0.01|20.04
3651316|54.95|3.29|5.47|1.08|0.08|0.03|5.18
3656332|1.35|5.67|11.49|1.11|0.09|0.02|3.91
3661349|7.54|-3.11|11.22|1.19|0.08|0.04|15.93
3666365|45.69|9.60|8.84|1.12|0.08|0.00|5.13
3671379|9.32|2.37|-3.77|1.15|0.09|0.04|24.10
3676395|26.37|-5.91|-2.21|1.04|0.08|0.02|5.47
3681411|8.55|7.39|7.95|1.15|0.10|0.02|10.12
3686426|40.72|8.77|0.93|1.11|0.07|0.02|6.89
3691442|-11.19|1.74|-6.16|1.15|0.09|0.03|4.84
3696457|-44.53|14.69|-8.66|1.16|0.06|-0.01|17.35
3701473|129.45|-5.26|4.27|1.25|0.05|0.13|18.18
3706488|60.44|-2.93|2.85|1.14|0.08|0.06|5.08
3711504|49.41|4.08|-9.40|1.13|0.08|0.04|6.74
3716521|9.73|-6.42|11.36|1.25|0.08|0.05|10.51
3721537|77.31|-3.21|9.94|1.12|0.07|0.04|5.47
3726552|37.28|0.24|8.26|1.17|0.08|0.04|5.47
3731567|54.01|-0.73|1.88|1.13|0.08|0.04|17.64
3736583|19.49|8.73|-1.65|1.10|0.08|0.03|4.79
3741598|-47.23|-0.02|-0.08|1.08|0.08|0.03|4.59
3746614|-25.02|4.79|-1.02|1.09|0.08|0.02|13.64
3751629|33.15|5.76|-0.76|1.08|0.08|0.02|4.30
3756645|23.33|5.90|3.21|1.08|0.08|0.01|4.25
3761660|34.40|4.08|-0.24|1.15|0.07|0.01|24.54
3766676|26.89|8.24|5.15|1.15|0.09|0.02|5.18
3771693|28.76|2.90|-0.73|1.12|0.07|0.02|24.00
3776708|-16.53|7.06|-1.40|1.17|0.08|0.01|21.46
3781724|-38.48|-3.04|-1.31|1.17|0.08|0.04|6.26
3786739|-34.32|-1.17|1.53|1.02|0.08|0.02|4.35
3791755|10.29|4.95|4.26|1.07|0.08|0.02|6.74
3796770|-45.47|11.11|0.47|1.15|0.07|-0.00|4.45
3801786|24.95|4.06|-6.13|1.21|0.08|0.04|27.32
3806801|12.00|4.11|8.19|1.14|0.09|0.02|4.20
3811817|-28.11|4.24|5.37|1.10|0.09|0.02|18.33
3816833|29.53|7.96|3.19|1.06|0.08|0.02|5.28
3821848|18.73|2.53|-2.15|1.11|0.08|0.03|5.91
3826865|2.98|1.38|1.79|1.11|0.09|0.02|5.18
3831880|-22.37|-1.36|6.08|1.13|0.08|0.03|4.69
3836896|74.98|-2.08|3.47|1.00|0.06|0.02|15.44
3841911|-12.34|-1.69|1.26|1.15|0.08|0.03|4.89
3846927|15.76|-0.28|6.37|1.15|0.09|0.01|4.50
3851942|-25.63|2.20|6.90|1.18|0.08|0.03|4.50
3856958|-33.63|-3.55|-1.24|1.14|0.08|0.03|14.17
3861974|33.27|10.40|13.51|1.20|0.10|0.02|4.01
3866989|62.55|12.96|-1.49|1.16|0.06|0.01|6.11
3872005|87.62|13.37|5.23|1.19|0.06|0.02|19.01
3877020|78.48|14.10|10.00|1.18|0.08|0.01|4.15
3882041|65.07|15.15|11.08|1.18|0.08|-0.00|4.30
3887056|95.50|18.34|9.83|1.22|0.07|0.01|22.53
3892072|36.77|12.50|4.42|1.17|0.07|0.00|24.78
3897086|-4.79|-4.96|4.82|1.24|0.08|0.05|7.82
3902102|73.56|-3.53|3.37|1.12|0.08|0.04|5.03
3907118|-8.40|5.96|-5.50|1.08|0.09|0.02|11.63
3912133|37.82|11.34|1.37|1.09|0.07|0.01|6.06
3917149|-65.79|-0.63|-6.02|1.07|0.07|0.04|4.55
3922164|25.09|8.53|-6.62|1.14|0.08|0.02|31.48
3927180|15.96|-0.12|-7.92|1.22|0.09|0.04|13.00
3932194|7.44|-5.09|4.64|1.17|0.08|0.04|5.72
3937212|89.72|-5.05|2.14|1.16|0.07|0.07|11.53
3942226|-1.02|10.21|-5.62|1.12|0.09|0.02|4.25
3947242|-18.95|9.01|-1.31|1.07|0.08|0.01|25.27
3952258|76.94|-0.66|-2.47|1.18|0.08|0.07|22.92
3957273|-25.55|-4.86|2.27|1.17|0.08|0.05|4.89
3962289|6.63|1.71|9.96|1.22|0.09|0.03|4.06
3967304|-30.52|-1.82|8.29|1.17|0.08|0.04|13.39
3972320|33.76|6.48|1.34|1.15|0.08|0.02|32.94
3977335|3.02|8.24|7.50|1.06|0.08|0.01|4.35
3982351|44.04|0.11|3.95|1.13|0.08|0.03|7.87
3987366|-44.69|5.39|1.77|1.18|0.09|0.02|29.96
3992383|25.76|12.61|9.21|1.21|0.10|0.00|4.15
3997399|10.78|16.29|0.77|1.20|0.07|-0.01|16.72
4002414|16.44|1.89|-4.45|1.09|0.09|0.03|22.09
4007429|35.16|1.87|2.53|1.09|0.08|0.02|23.41
4012444|-5.97|14.23|7.56|1.22|0.09|-0.00|30.25
4017460|29.92|-8.79|3.73|1.21|0.08|0.06|33.38
4022475|-75.47|-8.19|-9.94|1.10|0.07|0.05|8.31
4027491|1.96|-1.54|5.26|1.10|0.09|0.03|33.09
4032506|-27.31|2.81|-5.66|1.11|0.08|0.01|30.06
4037522|39.26|9.24|-2.80|1.09|0.08|0.00|23.41
4042537|-47.64|-4.83|-1.66|1.12|0.07|0.05|15.79
4047554|1.33|-2.31|1.54|1.16|0.09|0.04|4.59
4052570|-9.92|7.49|-0.85|1.19|0.08|-0.00|4.59
4057585|34.27|3.69|8.28|1.13|0.08|0.02|25.22
4062601|36.89|6.50|0.45|1.05|0.08|0.01|33.97
4067616|-4.75|0.58|6.09|1.10|0.09|0.02|15.49
4072632|33.67|8.37|-3.66|1.19|0.09|0.03|18.04
4077647|10.62|4.13|-2.79|1.10|0.08|0.02|4.35
4082662|20.09|1.69|0.13|1.11|0.08|0.01|21.85
4087677|-26.59|3.89|-5.51|1.16|0.08|0.01|4.74
4092693|-69.42|7.56|1.57|1.16|0.08|0.03|8.94
4097709|-26.31|6.76|-0.92|1.11|0.08|0.02|25.37
4102725|-64.93|9.08|-0.09|1.15|0.09|0.03|5.43
4107741|2.38|7.95|-0.63|1.11|0.08|0.00|5.33
4112756|-48.62|3.73|-1.56|1.15|0.08|0.02|12.27
4117772|-30.26|-1.89|0.21|1.18|0.09|0.03|5.08
4122787|-3.02|0.15|2.97|1.11|0.08|0.01|5.03
4127803|-6.53|0.61|-2.12|1.09|0.09|0.01|4.64
4132818|44.27|6.76|-3.60|1.13|0.07|0.01|4.69
4137834|8.98|5.35|-5.84|1.13|0.07|0.00|4.25
4142849|-40.56|-1.96|2.97|1.13|0.08|0.03|5.52
4147864|-8.65|8.09|5.64|1.17|0.09|0.02|5.18
4152880|52.95|4.96|6.73|1.12|0.08|0.03|6.79
4157896|-21.73|0.01|0.46|1.10|0.08|0.01|4.15
4162912|20.95|0.73|3.80|1.05|0.08|0.01|3.86
4167927|-33.41|5.18|-5.54|1.21|0.08|0.01|4.35
4172943|-13.92|4.82|6.24|1.16|0.10|0.01|25.22
4177958|-17.96|12.02|-4.70|1.12|0.07|0.01|35.63
4182974|73.27|-1.72|-1.09|1.10|0.08|0.04|21.26
4187990|-68.96|10.24|-0.96|1.10|0.06|0.00|4.50
4193005|32.77|8.73|6.33|1.16|0.10|0.01|6.26
4198021|49.58|5.79|4.63|1.16|0.09|0.03|5.28
4203036|37.28|-1.30|5.82|1.17|0.08|0.03|24.78
4208051|-17.07|12.78|-2.02|1.15|0.08|-0.00|32.36
4213068|0.38|-5.37|2.97|1.20|0.09|0.04|12.90
4218084|76.98|-6.08|6.57|1.13|0.07|0.05|4.94
4223098|56.63|-2.31|0.14|1.19|0.08|0.06|7.87
4228114|49.68|-2.29|3.85|1.17|0.08|0.02|8.70
4233129|38.01|6.36|2.78|1.13|0.08|0.03|9.38
4238145|35.84|5.21|5.94|1.12|0.08|0.02|4.30
4243161|26.54|3.03|3.80|1.07|0.08|0.02|19.89
4248176|10.05|6.80|3.66|1.10|0.09|0.02|4.94
4253192|60.53|9.34|9.43|1.13|0.08|0.02|10.90
4258207|31.05|9.82|6.90|1.10|0.09|0.02|4.20
