millis|gX|gY|gZ|aX|aY|aZ|UVIndex
506519|1.33|4.52|12.78|1.12|0.08|0.02|2.49
511535|3.85|5.73|5.40|1.06|0.13|0.04|2.54
516549|4.16|2.96|1.23|1.09|0.11|0.06|2.64
521565|3.56|1.84|-0.69|1.11|0.08|0.08|2.54
526580|11.07|3.72|2.64|1.15|-0.10|-0.06|2.54
531597|3.69|3.53|1.10|1.10|0.09|0.07|2.54
536612|-0.26|2.06|-0.84|1.13|0.09|0.05|2.54
541628|4.24|5.21|3.50|1.12|0.10|0.08|2.54
546642|3.91|1.79|-5.13|1.14|0.08|0.04|2.59
551658|3.49|5.46|1.39|1.11|0.10|0.08|2.69
556674|2.54|3.02|0.70|1.13|0.11|0.07|2.64
561688|3.94|3.89|1.75|1.10|0.10|0.05|2.79
566704|4.08|3.79|1.44|1.09|0.10|0.05|2.88
571719|5.77|6.81|3.55|1.11|0.09|0.05|2.83
576735|4.42|4.18|0.63|1.11|0.08|0.05|2.93
581749|3.38|3.98|1.73|1.10|0.09|0.07|2.74
586765|2.37|7.90|-1.24|1.07|0.35|0.01|2.88
591781|-0.75|3.56|-2.86|1.09|0.27|0.03|3.13
596797|-4.94|-1.73|4.45|1.03|0.33|0.09|3.08
601812|23.34|11.47|-3.02|1.05|0.20|-0.15|2.93
606827|7.79|-0.15|-1.82|1.09|0.10|0.08|2.54
611843|4.00|3.97|1.40|1.11|0.09|0.05|2.49
616858|3.79|3.62|1.50|1.10|0.10|0.06|2.49
621874|4.12|4.31|1.31|1.11|0.08|0.05|2.54
626888|4.06|3.91|1.27|1.11|0.09|0.05|2.54
631904|3.67|3.80|1.37|1.11|0.10|0.04|2.54
636919|4.17|3.60|0.50|1.01|0.10|0.05|2.49
641935|4.47|4.12|1.56|1.11|0.10|0.07|2.35
646949|3.89|4.59|1.68|1.11|0.09|0.05|2.35
651966|3.95|3.63|1.37|1.11|0.09|0.04|2.44
656982|4.05|3.31|1.73|1.11|0.08|0.04|2.44
661997|3.89|3.83|1.57|1.11|0.09|0.05|2.39
667012|4.19|3.92|1.54|1.11|0.09|0.04|2.49
672027|4.18|4.35|1.80|1.13|0.07|0.06|2.44
677043|3.58|0.36|1.32|1.11|0.09|0.04|2.39
682058|4.89|3.84|2.39|1.10|0.10|0.05|2.39
687073|4.46|3.11|0.94|1.06|0.12|0.02|2.20
692088|4.27|1.92|0.61|1.13|0.10|0.07|2.30
697104|3.93|4.35|2.28|1.10|0.12|0.06|2.35
702119|4.15|3.88|1.34|1.11|0.09|0.05|2.20
707134|4.41|3.02|1.38|1.11|0.08|0.04|2.30
712151|3.92|4.49|2.02|1.11|0.09|0.05|2.25
717166|4.14|1.29|1.59|1.10|0.09|0.04|2.30
722182|4.24|-2.07|-0.47|1.21|-0.00|0.13|2.25
727196|3.46|13.47|-2.47|1.16|0.13|-0.04|2.30
732212|3.89|4.42|1.96|1.12|0.08|0.06|2.25
737227|3.91|3.95|1.59|1.11|0.09|0.05|2.25
742243|4.24|4.66|1.37|1.11|0.09|0.04|2.20
747257|3.92|3.89|1.47|1.11|0.08|0.05|2.15
752273|3.88|3.81|1.64|1.12|0.08|0.05|2.25
757288|4.07|4.05|1.63|1.11|0.09|0.04|2.25
762304|3.82|3.95|1.83|1.11|0.08|0.04|2.20
767321|4.26|3.69|1.60|1.11|0.09|0.04|2.10
772335|4.18|6.23|2.69|1.10|0.09|0.03|2.00
777351|3.86|4.00|1.69|1.11|0.08|0.05|2.05
782366|3.87|4.04|1.44|1.12|0.09|0.05|2.05
787381|4.16|2.37|0.77|1.12|0.08|0.05|2.00
792401|3.81|4.09|1.33|1.11|0.09|0.06|2.10
797417|4.00|4.46|1.69|1.10|0.09|0.04|2.15
802433|4.08|3.98|1.43|1.10|0.09|0.05|2.05
807447|4.08|3.56|1.40|1.11|0.09|0.06|2.25
812463|4.04|4.11|1.40|1.11|0.09|0.05|2.10
