millis|latitude|longitude|satellites|hdop|kmh|altitude
8448730|48.048660|9.702841|3|1.6|59.00|12099.10
8454740|48.048736|9.701455|5|1.6|69.25|12098.80
8460751|48.048881|9.699911|6|1.6|63.58|12097.20
11125562|48.062679|9.310650|10|0.8|104.19|12041.80
11131572|48.061977|9.311936|10|0.8|90.84|11965.30
11137582|48.061336|9.313308|10|0.8|75.06|11890.20
11143595|48.060676|9.314744|10|0.8|55.82|11817.00
11149655|48.059963|9.316159|10|0.8|55.82|11744.40
11155782|48.059116|9.317517|10|0.8|52.99|11744.40
11161913|48.058311|9.318780|10|0.8|48.63|11589.50
11168044|48.057628|9.319997|10|0.8|71.30|11518.10
11174064|48.056903|9.321023|10|0.8|97.42|11449.60
11180075|48.056194|9.322083|10|0.8|99.30|11379.50
11186085|48.055400|9.323393|10|0.8|61.63|11310.90
11192096|48.054580|9.324620|10|0.8|44.91|11241.30
11198107|48.053752|9.325611|10|0.8|88.56|11174.40
11204120|48.053112|9.326552|10|1.1|95.66|11106.80
11210130|48.052433|9.327658|10|0.9|71.73|11037.50
11216140|48.051651|9.328727|10|0.8|37.35|10969.00
11222150|48.050716|9.329732|10|0.8|64.51|10902.10
11228161|48.049869|9.330512|10|0.8|94.49|10835.60
11234171|48.049137|9.331343|10|0.8|90.43|10769.20
11240182|48.048385|9.332350|10|0.8|49.80|10705.80
11246193|48.047473|9.333386|10|0.8|53.84|10640.90
11252204|48.046566|9.334195|10|0.8|92.27|10575.80
11258214|48.045806|9.334949|10|0.8|89.64|10511.80
11264226|48.045131|9.336034|10|0.8|50.78|10449.30
11270313|48.044193|9.337292|10|0.8|38.69|10386.30
11276441|48.043323|9.338341|10|0.8|67.21|10310.60
11282572|48.042465|9.339292|10|0.8|100.29|10248.10
11288684|48.041687|9.340231|10|0.8|97.54|10184.40
11294694|48.040901|9.341367|10|0.8|64.08|10123.60
11300704|48.039913|9.342541|10|0.8|55.52|10060.50
11306714|48.038887|9.343439|10|0.8|85.84|9998.00
11312724|48.038021|9.344249|10|0.8|99.32|9936.30
11318735|48.037258|9.345188|10|0.8|71.97|9876.40
11324748|48.036449|9.346217|10|0.8|35.67|9816.10
11330759|48.035648|9.347142|10|0.8|62.13|9753.50
11336770|48.034912|9.347978|10|0.8|87.62|9692.20
11342780|48.034358|9.348910|10|0.8|82.88|9632.10
11348790|48.033817|9.350131|10|0.8|47.11|9570.80
11354800|48.033130|9.351424|10|0.8|50.80|9509.60
11360811|48.032402|9.352561|10|0.8|90.62|9450.10
11366821|48.031764|9.353656|10|0.8|97.27|9390.50
11372832|48.031272|9.354978|10|0.8|59.56|9332.10
11378843|48.030635|9.356457|10|0.8|52.24|9274.20
11384854|48.029930|9.357680|10|0.8|94.29|9217.70
11390945|48.029239|9.359107|10|0.8|96.10|9161.70
11397075|48.028724|9.360404|10|0.8|66.34|9095.40
11403203|48.028144|9.361916|10|0.8|47.82|9039.10
11409313|48.027465|9.363206|10|0.8|84.77|8981.70
11415324|48.026947|9.364294|10|0.8|93.47|8927.10
11421335|48.026405|9.365661|10|0.8|58.95|8870.60
11427345|48.025733|9.367073|10|0.8|52.50|8815.10
11433355|48.024993|9.368248|10|0.8|96.08|8760.10
11439365|48.024532|9.369423|10|0.8|68.28|8708.20
11445376|48.023860|9.370895|10|0.8|54.54|8655.20
11451388|48.023162|9.371919|10|0.8|91.88|8602.20
11457399|48.022663|9.372994|10|0.8|68.15|8549.00
11463410|48.021919|9.374432|10|0.8|62.26|8499.60
11469421|48.021259|9.375352|10|0.8|89.75|8446.30
11475431|48.020751|9.376413|10|0.8|70.34|8391.80
11481441|48.020153|9.377643|10|0.8|39.69|8336.10
11487451|48.019363|9.378812|10|0.8|64.99|8280.20
11493462|48.018718|9.379602|10|0.8|87.32|8229.50
11499472|48.018291|9.380867|10|0.8|45.36|8177.90
11505503|48.017551|9.382144|10|0.8|62.62|8129.10
11511646|48.016712|9.383305|10|0.8|79.84|8129.10
11517773|48.016231|9.384150|10|0.8|73.39|8016.40
11523903|48.015670|9.385373|10|0.8|35.52|7963.90
11529950|48.014881|9.386349|10|0.8|78.90|7912.30
11535960|48.014354|9.387136|10|0.8|77.21|7860.50
11541976|48.013721|9.388464|10|0.8|45.82|7814.20
11547986|48.013175|9.389101|10|0.8|71.82|7774.00
11553997|48.012535|9.390261|10|0.8|50.95|7728.70
11560008|48.011947|9.391351|10|0.8|74.06|7674.70
11566019|48.011383|9.392482|10|0.8|83.40|7619.20
11572032|48.010826|9.393708|10|0.8|86.99|7563.80
11578042|48.010284|9.394961|10|0.8|81.69|7508.00
11584052|48.009738|9.396160|10|0.8|72.78|7453.10
11590062|48.009208|9.397311|10|0.8|58.15|7398.20
11596072|48.008728|9.398426|10|0.8|42.10|7344.60
11602083|48.008205|9.399537|10|0.8|45.15|7290.10
11608094|48.007698|9.400662|10|0.8|51.76|7233.70
11614105|48.007202|9.401753|10|0.8|61.00|7179.80
11620115|48.006690|9.402844|10|0.8|76.49|7125.30
11626144|48.006187|9.404022|10|0.8|76.49|7072.30
11632277|48.005641|9.405409|10|0.8|53.50|7072.30
11638419|48.005172|9.406531|10|0.8|44.21|6956.60
11644551|48.004695|9.407666|10|0.8|41.37|6902.50
11650585|48.004215|9.408890|10|0.8|42.74|6847.40
11656595|48.003780|9.410087|10|0.8|45.56|6791.30
11662605|48.003276|9.411236|10|0.8|57.80|6736.20
11668615|48.002780|9.412402|10|0.8|55.06|6682.50
11674626|48.002304|9.413504|10|0.8|64.12|6628.80
11680636|48.001773|9.414666|10|0.8|65.10|6574.40
11686647|48.001228|9.415752|10|0.8|71.84|6521.10
11692658|48.000701|9.416880|10|0.8|77.73|6466.30
11698671|48.000148|9.417948|10|0.8|76.73|6413.20
11704682|47.999610|9.419037|10|0.8|67.73|6359.40
11710692|47.999011|9.420128|10|0.8|74.84|6304.60
11716702|47.998451|9.421060|10|0.8|78.27|6252.20
11722712|47.997898|9.422075|10|0.8|76.02|6199.30
11728722|47.997341|9.423148|10|0.8|78.12|6144.90
11734733|47.996833|9.424190|10|0.8|77.64|6092.00
11740744|47.996330|9.425177|10|0.8|76.71|6036.30
11746765|47.995819|9.426216|10|0.8|66.19|5984.30
11752896|47.995193|9.427402|10|0.8|77.54|5984.30
11759037|47.994670|9.428388|10|0.8|78.77|5868.50
11765170|47.994155|9.429347|10|0.8|76.86|5815.20
11771220|47.993656|9.430374|10|0.8|75.41|5762.60
11777231|47.993160|9.431341|10|0.8|77.77|5710.20
11783242|47.992717|9.432302|10|0.8|76.02|5658.50
11789253|47.992233|9.433264|10|0.8|75.47|5605.70
11795264|47.991786|9.434204|10|0.8|61.80|5556.60
11801274|47.991333|9.435096|10|0.8|55.17|5505.70
11807284|47.990875|9.436033|10|0.8|57.89|5454.70
11813294|47.990413|9.437017|10|0.8|51.69|5405.30
11819307|47.989990|9.437948|10|0.8|47.61|5354.80
11825317|47.989585|9.438827|10|0.8|45.11|5304.00
11831328|47.989196|9.439701|10|0.8|37.21|5255.70
11837339|47.988773|9.440551|10|0.8|36.15|5205.60
11843350|47.988384|9.441429|10|0.8|35.23|5158.50
11849360|47.987968|9.442351|10|0.8|37.50|5108.90
11855370|47.987575|9.443282|10|0.8|25.13|5062.50
11861380|47.987117|9.444106|10|0.8|23.43|5013.50
11867409|47.986759|9.444974|10|0.8|23.43|4966.40
11873545|47.986389|9.445950|10|0.8|26.04|4966.40
11879674|47.985954|9.446831|10|0.8|24.89|4868.60
11885815|47.985549|9.447697|10|0.8|25.21|4822.00
11891968|47.985076|9.448546|10|0.8|32.65|4775.80
11897978|47.984619|9.449411|10|0.8|42.61|4730.40
11903989|47.984180|9.450178|10|0.8|41.84|4685.50
11910000|47.983692|9.450939|10|0.8|47.37|4640.10
11916011|47.983238|9.451642|10|0.8|54.06|4594.40
11922021|47.982799|9.452334|10|0.8|53.41|4549.40
11928031|47.982402|9.453022|10|0.8|48.84|4503.60
11934041|47.981964|9.453627|10|0.8|63.62|4460.80
11940051|47.981510|9.454184|10|0.8|61.63|4416.10
11946064|47.981094|9.454832|10|0.8|63.75|4371.00
11952075|47.980667|9.455448|10|0.8|58.60|4326.90
11958086|47.980285|9.456040|10|0.8|53.99|4283.00
11964118|47.979881|9.456658|10|0.8|53.99|4239.90
11970247|47.979400|9.457317|10|0.8|52.41|4239.90
11976377|47.979034|9.457864|10|0.8|47.71|4149.10
11982508|47.978744|9.458453|10|0.8|28.34|4106.90
11988550|47.978393|9.459055|10|0.8|15.80|4064.30
11994561|47.978057|9.459621|10|0.8|15.17|4020.90
12000571|47.977672|9.460196|10|0.8|30.54|3978.40
12006583|47.977272|9.460728|10|0.8|42.17|3935.10
12012594|47.976882|9.461174|10|0.8|50.17|3891.90
12018605|47.976547|9.461637|10|0.8|51.04|3849.50
12024616|47.976257|9.462108|10|0.8|44.54|3807.30
12030628|47.975978|9.462590|10|0.8|29.84|3765.50
12036640|47.975646|9.463033|10|0.8|14.13|3722.90
12042652|47.975299|9.463465|10|0.8|12.72|3681.40
